"","ARG1","CXCL1","LRG1","MMP9","OSCAR","QPCT","TNF","type"
"GSM1620819",4.30240218384281,7.55158921642656,6.09736481134059,6.64043830615,4.0588459538454,6.80655791254068,7.82532099903594,0
"GSM1620820",4.63693759976869,6.97129751238723,5.60737140200167,5.82822894995172,5.30252793493544,7.69841736370347,6.21264810653381,0
"GSM1620821",4.91944788196757,6.49167551882876,4.66718964037927,5.70247560413367,4.08378085966502,5.21295110039144,7.05190413629179,0
"GSM1620822",3.73485515842598,7.22245791301133,5.36663771589152,5.68611198986736,3.80597070721321,4.35208476602227,7.63360157979312,0
"GSM1620823",4.92408577675124,8.00508961324,5.06901799071724,6.01205990619115,4.37087138574442,4.98397487602483,7.65340881944696,0
"GSM1620824",4.37481491147359,7.98439701847552,5.11177912697292,5.71693110891379,5.61936133786574,6.27897448594981,8.60295855931461,0
"GSM1620825",4.47548684663292,7.15999760214434,5.36176400357723,5.85256345322808,4.25565276966777,5.19799480681437,7.29008951017862,0
"GSM1620826",5.08016928101533,7.24669616311639,5.21198828597427,6.17777935189586,3.86286642577797,5.50664978052373,7.1728988554587,0
"GSM1620827",5.06054833473008,7.68574278726753,5.43497792558387,5.64005831617376,4.2900351599078,6.24759819401302,6.59142960390061,0
"GSM1620828",4.87895165591724,6.4766489849224,4.66986156007523,5.44713673010906,5.03499484547253,5.37452362817549,8.52835908583942,0
"GSM1620829",5.09590072786003,7.16520599408596,5.09490139450691,4.64000816114225,3.69627027275332,4.35897320499178,6.39754031341263,0
"GSM1620830",4.73415698926491,6.2326156523532,5.10786532606944,5.7906609390292,4.3818070176488,4.5722772961081,7.16767456240842,0
"GSM1620831",4.53149035850743,7.66032674253226,4.67679752874559,6.21214466623714,4.75300432798931,5.99167582843767,8.10309997373356,0
"GSM1620832",6.31651171998779,7.88800308124288,8.69060976317428,7.93477756182855,6.04089173411399,8.51277395148496,7.96306200684066,1
"GSM1620833",4.28959079222038,7.12685969244245,6.59759134633807,6.63285631432906,4.61251117165187,6.61187632958664,7.49147597239005,1
"GSM1620834",4.9922236020598,7.32314289324602,7.02979059925367,8.06727471321989,5.74195410484262,6.64357638618572,8.91243636520985,1
"GSM1620835",5.12441083277188,7.64641684344055,6.8973158397521,7.6008772127081,5.95046611971088,7.2813635990591,10.5113279725388,1
"GSM1620836",5.27028467686289,10.1533529575544,6.38212258997755,7.56634696022395,7.84536885508242,8.91644776083681,12.130527645649,1
"GSM1620837",4.81506752623168,9.54941897501151,8.60138849999258,8.17906168085256,9.50264084137391,10.4595411176595,12.8854617741611,1
"GSM1620838",5.16425132471919,8.30711513138607,7.98122662381311,8.30800731678384,6.26113504455176,8.77759792771101,7.95662467830821,1
"GSM1620839",4.53087144660182,6.18314566197746,6.89398309791659,7.30479229044877,4.91680063945224,6.67238868879323,7.8084341362448,1
"GSM1620840",4.65085035989575,5.76895016134073,5.77335821674466,6.68117314253587,4.50474796992831,6.05087549956987,7.03613844619175,1
"GSM1620841",4.98112069909042,6.59206232257457,5.14119634073015,6.62993116030821,4.39751604264637,6.43537226335786,7.16026165432395,1
"GSM1620842",4.58113774747392,8.66794084469912,7.16720663302897,6.78956743935668,6.16321679651606,7.56184943301373,10.2791116745176,1
"GSM1620843",5.15874092310479,5.40916799521196,5.87115485646634,6.77092849983945,5.16428299933149,5.58460835180831,6.86897490540814,1
"GSM1620844",5.09268619721619,9.78162633766759,7.02406799767096,7.2315215418664,5.94414226912073,8.5823736159207,8.56321490478226,1
"GSM1620845",5.2874236031214,11.613758546852,8.20328332204426,8.96577919209792,5.48148812978577,8.81700357197114,7.98507349315939,1
"GSM1620846",4.87986390837214,8.33768913896573,5.7877318506462,7.2250850198074,5.64666359130161,7.23584248953835,9.0194408427127,1
"GSM1620847",6.32107847994174,12.4196719987999,7.56665699327822,9.53713095043847,7.80942067821525,10.9645714012896,11.1323216404251,1
"GSM1620848",4.81602542347468,7.92483789453617,4.81973209730119,5.81366703881859,4.18598645968707,5.30838278652175,6.47689627339418,1
"GSM1620849",4.18568182577953,10.7281040657701,7.80783245860304,8.18691551288145,6.47756428961309,9.39062669517311,9.72104888452481,1
"GSM1620850",7.45368959593559,12.7517333060045,8.45187288576502,10.688670862659,8.41958814879181,11.5272358240848,9.93493970531862,1
"GSM1620851",7.18210902289665,13.1975779429013,8.87201512158194,11.2716411928828,8.2126977583118,11.823320361784,10.2022098621804,1
"GSM1620852",7.034806721372,12.1304139050559,5.47917885114,10.1856873563437,7.50095362321823,10.587670811343,9.13717234586277,1
"GSM1620853",5.35162210370257,8.56254472890314,4.64742778879665,5.68099146848465,3.9388039147013,5.32934850819198,8.07280843911794,0
"GSM1620854",6.20267386829623,8.53034120713369,4.55778313504027,6.22981982440972,4.90067030949976,6.24756206307522,8.47084324619906,0
"GSM1620855",4.11514698843461,8.04661897204058,7.08544777186239,5.28887458017385,4.89642944446143,6.37364045317774,8.21813444064525,0
"GSM1620856",5.01069896581276,11.030746143411,5.24430721528705,5.12750886648606,6.36606418048799,8.15784922443715,11.1953556913306,0
"GSM1620857",4.5615173431255,4.52692329349277,4.55166253707453,5.30668544807599,3.10784439510466,5.06483425901029,6.71980780463378,0
"GSM1620858",4.5746986775619,6.12928610620121,4.67798645626419,6.0883102705296,4.36805620453501,6.21469429702231,8.13150277902959,0
"GSM1620859",5.58139584634278,10.7124160052411,6.87053477137178,7.65612199465138,7.11747042703132,9.2813293818599,8.93558365556088,0
"GSM1620860",4.88447874759631,4.31943256729323,4.69983585911279,5.47275201232287,4.82942944877287,7.03610449156965,8.2587458956773,0
"GSM1620861",4.69247629182989,8.22988711389208,4.83549462011661,5.31981239382352,4.38471010951491,4.39822809634459,7.85182537150464,0
"GSM1620862",4.5804487808264,4.44561733892987,5.08145670481394,5.9358527163894,3.5649618133925,5.04506519033297,4.94793802846213,0
"GSM1620863",4.44738577506953,6.81430969218105,4.93905100117632,5.35488595300166,3.80206377043318,4.84549215177836,7.02951291573662,0
"GSM1620864",5.48015926550331,7.10965210394212,4.93382736873916,4.64628523777296,4.17658420945583,5.98264224458279,7.51436510983321,0
"GSM1620865",5.03230814223817,7.75997816593894,5.11780993940049,5.75675625646083,5.01831597252222,6.14435126457201,7.1920119508874,0
"GSM1620866",4.88575167901923,7.93156510890281,5.12656970887863,5.88747974659814,3.84161968592952,6.50045127127113,7.32599615619215,0
"GSM1620867",3.83497797204415,6.4702566104524,5.41913911165153,5.08265707138654,4.13072874375898,5.31502657224361,7.08919409689478,0
"GSM1620868",5.55521770434582,7.74175478580094,4.93979164065084,5.16527631682336,4.76848914254611,5.49530323062683,7.82344852752922,0
"GSM1620869",4.28860605030756,6.78108335918565,5.13940636997291,6.53857672433802,4.07695090200947,6.15779009785738,6.24543021296936,0
"GSM1620870",4.07102056873198,6.23859797051729,4.84848899693109,5.18761205814729,4.13790977411296,8.12153352990555,7.15814641396118,0
"GSM1620871",3.78805899815377,6.06096206929236,4.82902550286265,4.91944808314466,3.97483639446647,6.67238868879323,7.46623069677049,0
"GSM1620872",5.07197261567361,8.03435207973623,6.05920813888193,6.17661036567926,3.69355463278077,6.08596802093842,6.86434538259308,0
"GSM1620873",4.54464464951563,6.4301815702323,5.00294161358334,5.19568497009846,4.09865691468277,5.87572491392709,6.86985570581702,0
"GSM1620874",4.52224951058882,7.24699802829898,4.58137199679177,5.70894388408621,4.20028635417337,5.24253909775056,6.80340515884316,0
"GSM1620875",5.42362456585342,6.46004908618665,4.84045932819507,5.48764285158644,4.90253384096234,5.04147256516586,7.38326451162455,0
"GSM1620876",4.15491498413775,6.4618805666595,5.93365256462458,5.09060516518327,3.95629061327523,5.0579404718947,6.79189650388262,0
"GSM1620877",5.29782780720174,8.57962003188842,5.97171311762092,7.13228359903096,5.93490338889181,6.39732770058721,8.33774468467184,1
"GSM1620878",4.87491774955511,6.27496678312426,6.64896573500873,6.44955290670152,4.56760002893245,6.95995065631589,7.04332497545552,1
"GSM1620879",4.73592326852541,7.52160776619618,5.80124675322678,5.87715125885503,4.35474486872965,5.56080394019486,9.2160544218051,1
"GSM1620880",6.16514081071507,11.4252552842318,10.9767432334853,8.7053968891737,7.65491719629291,9.89231807311193,9.37927253714932,1
"GSM1620881",5.76981667246199,11.7285450487923,9.89606143729394,8.63971481847363,6.36357136946046,11.1261558705496,8.83504051023088,1
"GSM1620882",4.17817018260936,9.59673508522619,7.82106546124179,5.30211277764074,5.96059390766282,9.72747237625103,10.9924544699572,1
"GSM1620883",6.17847026001808,11.1306008287769,7.866569233164,7.93548202540392,4.84262307641986,10.0373148929776,8.74742989440999,1
"GSM1620884",5.14408151534536,11.314333811828,6.01176208022224,8.64698690083342,4.4962041097667,9.50565280871153,7.04452285089552,1
"GSM1620885",5.45645583496798,8.19959697977812,6.15533314740655,4.78962883755115,5.09728226608518,7.57033723601695,6.63286311634679,1
"GSM1620886",5.40667941222417,7.6535583869357,5.84892305524902,6.5558826963436,5.6263186722489,7.93263283483516,9.19228310846636,1
"GSM1620887",4.19628316460807,5.7063022561245,5.42305732795923,7.13592629549756,4.18024095059538,5.41841179825495,5.77152442518456,1
"GSM1620888",4.41744994046791,7.58768904106151,5.28182549979343,8.07061020945192,4.02429413509809,6.37524055771241,9.26715122337166,1
"GSM1620889",4.98632108224546,7.82819153177455,6.66671056998629,8.19552559624869,4.82513798959505,9.06234804763515,8.35476355478395,1
"GSM1620890",4.45555703007927,8.13509216842465,7.62516260876166,6.58418191967313,6.3331959774168,7.91908218601789,10.9746702785288,1
"GSM1620891",5.17704808393677,9.2701168046731,5.37499622341237,6.12008337348847,5.47907975617376,8.5851841966776,11.9908404932928,1
"GSM1620892",4.44838656174784,3.90052905363324,6.0466605250638,7.98586438709075,4.09340550192892,5.64580110005242,5.49008616274723,0
"GSM1620893",4.62385923921062,4.65090361126563,5.34083212701549,7.16217028503269,4.74885671425004,4.67532377647309,6.40947364583383,0
"GSM1620894",5.48771893162485,7.86165912833099,6.341609482045,5.77218888525021,6.29677356521091,6.36830655844133,8.07327643970822,0
"GSM1620895",4.26467796198404,6.1986473118551,5.58749087774591,7.16531958904043,4.47656662851697,5.21373423980608,6.5423675055039,0
"GSM1620896",4.32945759657648,7.75143355887221,4.94459631673648,8.7015134037051,4.11942796379083,7.82547871880215,8.05506545846372,0
"GSM1620897",5.02693893308755,8.57180195402982,5.15979728723778,7.25060720632527,4.88798010286256,6.19287252646087,6.77477376267536,0
"GSM1620898",5.13180457695985,8.95603083203141,4.74214178207481,5.99090715792053,4.20571713662833,6.26479444705166,8.43727065890947,0
"GSM1620899",5.30151813264199,6.29053727577323,6.09345908063041,6.07046306853044,6.85929304518161,6.21725562003972,6.68236947248654,0
"GSM1620900",4.28042868030079,6.42597940659288,5.28738709136337,5.78132192758171,4.92143131292997,4.65358511127839,7.75955984761344,0
"GSM1620901",4.25270555017688,4.37385354891551,5.14605341770225,4.95143934394331,4.49306630443591,5.78769464537145,6.66217178449522,0
"GSM1620902",5.02619011558334,6.85728344893632,4.94993559277613,6.13795035895638,4.21241789233636,4.76241668214672,7.55637237462558,0
"GSM1620903",4.43445550638812,4.28792972086431,6.01787283191131,6.80797828932378,4.4563064894883,4.98624505385375,6.74080982790269,0
"GSM1620904",4.38497965744437,5.11990795670684,5.7975657683147,6.23988393373564,4.27041069955312,5.0936394474857,6.55901277218325,0
"GSM1620905",4.74035365937933,8.10219769933464,6.17325882908736,7.37568389444606,5.33182884243806,8.26784102162763,7.69128188645737,1
"GSM1620906",5.01355092933948,7.66032674253226,6.22640119963044,7.53177070420231,4.37609165587858,8.70363581499362,6.86636550685389,1
"GSM1620907",6.10925603036971,8.87736446427499,5.66846160628891,5.60721052051781,4.74988446697407,7.15336122268539,7.77038482639277,1
"GSM1620908",6.47426005285112,9.68393994292438,4.69486661840256,7.61621768074362,5.97238841373263,9.27864520900019,8.53055961149193,1
"GSM1620909",5.91589623726776,8.51604482160814,6.44519622924969,7.35862252619981,5.49585059835592,9.27591779582438,10.5236679168939,1
"GSM1620910",5.41721536274569,7.07920562265052,5.05794672836851,6.29903712413145,5.27584525381212,5.2151636010129,6.68630733705248,1
"GSM1620911",4.85787152716206,7.88035222745758,5.34353582141223,6.27850193605097,3.92912817890067,6.89870141193721,9.53763488822238,1
"GSM1620912",6.1935185716727,7.52789274058658,7.9246490219855,7.42539064244603,5.97268592089962,5.39828811730501,4.50486557182589,1
"GSM1620913",6.01437741443904,7.95951316055855,7.68251488541264,6.83649327502603,4.64463731600123,6.92731331543902,7.19853826721762,1
"GSM1620914",5.23282889918977,11.1777156372024,7.17376209512126,7.81132786263047,4.52654335840594,9.25065672868213,7.21624431058784,1
"GSM1620915",5.55306791766604,8.67089043050549,5.43923140718604,6.75607848168184,4.18616196128945,7.47792325210966,8.39107171416988,1
"GSM1620916",4.60640151177289,9.3186190897466,5.33918571535941,6.2771249697686,5.3622927588536,7.31383308494595,9.3157512372567,1
"GSM1620917",4.02098186270537,6.92331005254293,5.72287759844928,6.80090032750418,4.53591162351438,7.12314424179244,7.80500422860059,1
